label,xmin,ymin,xmax,ymax,image
Safety Vest,0,31,652,802,pos_7.jpg
Safety Vest,578,7,1183,773,pos_7.jpg
Hard Hat,281,47,335,87,pos_977.jpg
Hard Hat,421,41,475,98,pos_977.jpg
Safety Vest,386,96,495,217,pos_977.jpg
Safety Vest,245,102,358,222,pos_977.jpg
Safety Vest,0,293,298,718,pos_1982.jpg
Safety Vest,438,278,590,506,pos_1982.jpg
Safety Vest,650,285,951,658,pos_1982.jpg
Hard Hat,147,27,206,81,pos_976.jpg
Safety Vest,0,333,124,715,pos_1983.jpg
Safety Vest,416,275,543,522,pos_1983.jpg
Safety Vest,745,283,987,669,pos_1983.jpg
Safety Vest,695,302,824,497,pos_1997.jpg
Hard Hat,256,55,382,114,pos_6.jpg
Hard Hat,386,107,565,232,pos_6.jpg
Hard Hat,699,104,966,295,pos_6.jpg
Safety Vest,246,188,372,452,pos_6.jpg
Safety Vest,349,313,673,718,pos_6.jpg
Safety Vest,744,367,1107,718,pos_6.jpg
Hard Hat,145,25,369,282,pos_962.jpg
Hard Hat,80,38,275,264,pos_1029.jpg
Hard Hat,71,46,227,247,pos_792.jpg
Hard Hat,94,88,238,202,pos_1001.jpg
Safety Vest,0,335,246,717,pos_1767.jpg
Safety Vest,485,308,965,717,pos_1767.jpg
Hard Hat,641,24,891,177,pos_1767.jpg
Hard Hat,0,0,277,160,pos_1767.jpg
Hard Hat,1072,1,1276,34,pos_1767.jpg
Hard Hat,479,199,538,235,pos_1773.jpg
Hard Hat,567,220,631,260,pos_1773.jpg
Safety Vest,433,267,557,435,pos_1773.jpg
Safety Vest,533,297,662,475,pos_1773.jpg
Hard Hat,66,110,208,161,pos_1015.jpg
Hard Hat,130,56,176,87,pos_786.jpg
Hard Hat,222,63,250,88,pos_786.jpg
Hard Hat,262,55,311,97,pos_786.jpg
Hard Hat,356,19,473,93,pos_786.jpg
Hard Hat,598,309,628,321,pos_1798.jpg
Safety Vest,582,325,675,426,pos_1798.jpg
Safety Vest,280,264,571,718,pos_1940.jpg
Safety Vest,552,183,830,634,pos_1940.jpg
Safety Vest,0,262,306,662,pos_1954.jpg
Safety Vest,513,253,714,496,pos_1954.jpg
Safety Vest,938,280,1277,606,pos_1954.jpg
Hard Hat,211,16,263,49,pos_779.jpg
Hard Hat,260,46,318,95,pos_989.jpg
Hard Hat,347,58,392,86,pos_989.jpg
Hard Hat,411,70,458,102,pos_989.jpg
Hard Hat,208,67,229,82,pos_989.jpg
Hard Hat,238,66,263,96,pos_989.jpg
Hard Hat,431,209,499,255,pos_989.jpg
Hard Hat,116,23,213,93,pos_751.jpg
Safety Vest,1,268,159,715,pos_1968.jpg
Safety Vest,532,209,742,482,pos_1968.jpg
Safety Vest,842,212,1090,482,pos_1968.jpg
Hard Hat,155,81,174,109,pos_745.jpg
Hard Hat,278,35,310,58,pos_745.jpg
Hard Hat,330,45,380,69,pos_745.jpg
Hard Hat,462,20,481,33,pos_745.jpg
Safety Vest,497,343,567,439,pos_1559.jpg
Safety Vest,597,346,674,448,pos_1559.jpg
Safety Vest,2,397,312,713,pos_2050.jpg
Safety Vest,217,266,390,398,pos_2044.jpg
Safety Vest,0,581,914,719,pos_1565.jpg
Hard Hat,65,4,480,349,pos_1203.jpg
Hard Hat,29,36,285,201,pos_590.jpg
Safety Vest,85,78,945,927,pos_584.jpg
Hard Hat,161,187,257,273,pos_1217.jpg
Hard Hat,231,62,305,121,pos_1217.jpg
Hard Hat,207,38,255,74,pos_1217.jpg
Hard Hat,362,73,427,132,pos_1217.jpg
Hard Hat,357,141,460,208,pos_1217.jpg
Hard Hat,10,53,180,195,pos_1217.jpg
Safety Vest,586,269,733,479,pos_1571.jpg
Safety Vest,647,297,947,666,pos_2078.jpg
Safety Vest,355,168,520,389,pos_2093.jpg
Safety Vest,871,122,1025,345,pos_2093.jpg
Hard Hat,25,69,609,595,pos_209.jpg
Safety Vest,404,122,518,315,pos_2087.jpg
Safety Vest,797,134,920,324,pos_2087.jpg
Hard Hat,103,456,837,1017,pos_235.jpg
Safety Vest,119,111,183,200,pos_553.jpg
Safety Vest,46,93,221,332,pos_547.jpg
Safety Vest,231,103,405,335,pos_547.jpg
Safety Vest,414,99,594,334,pos_547.jpg
Safety Vest,415,340,596,588,pos_547.jpg
Safety Vest,226,339,408,588,pos_547.jpg
Safety Vest,40,339,218,590,pos_547.jpg
Hard Hat,6,3,492,360,pos_221.jpg
Safety Vest,284,192,440,428,pos_2124.jpg
Safety Vest,874,157,1009,386,pos_2124.jpg
Safety Vest,307,177,444,401,pos_2130.jpg
Safety Vest,786,110,932,347,pos_2130.jpg
Safety Vest,204,413,623,719,pos_1439.jpg
Safety Vest,714,265,1177,718,pos_1439.jpg
Safety Vest,326,144,503,410,pos_2118.jpg
Safety Vest,571,195,745,460,pos_2118.jpg
Hard Hat,14,23,375,315,pos_382.jpg
Safety Vest,373,329,918,719,pos_1411.jpg
Hard Hat,229,30,362,121,pos_1377.jpg
Safety Vest,242,223,457,331,pos_1377.jpg
Hard Hat,372,82,448,153,pos_1363.jpg
Hard Hat,645,194,685,230,pos_1363.jpg
Safety Vest,321,172,492,384,pos_1363.jpg
Safety Vest,633,255,680,416,pos_1363.jpg
Safety Vest,277,303,887,718,pos_1405.jpg
Hard Hat,185,493,294,669,pos_1405.jpg
Safety Vest,1049,0,1278,362,pos_1405.jpg
Hard Hat,295,293,3268,2129,pos_396.jpg
Hard Hat,258,55,357,112,pos_1388.jpg
Hard Hat,183,38,268,104,pos_1388.jpg
Safety Vest,256,181,399,328,pos_1388.jpg
Safety Vest,173,63,1105,1224,pos_369.jpg
Safety Vest,51,0,349,394,pos_341.jpg
Hard Hat,0,17,348,329,pos_427.jpg
Safety Vest,162,53,375,424,pos_433.jpg
Hard Hat,144,143,290,251,pos_355.jpg
Hard Hat,158,93,287,185,pos_355.jpg
Hard Hat,149,36,286,131,pos_355.jpg
Hard Hat,26,30,185,130,pos_355.jpg
Hard Hat,25,83,182,184,pos_355.jpg
Hard Hat,26,140,186,237,pos_355.jpg
Hard Hat,224,82,290,153,pos_1149.jpg
Hard Hat,149,25,359,148,pos_802.jpg
Hard Hat,149,250,218,348,pos_816.jpg
Hard Hat,60,257,128,327,pos_816.jpg
Hard Hat,112,278,158,355,pos_816.jpg
Hard Hat,152,13,242,74,pos_1175.jpg
Safety Vest,193,394,915,718,pos_1613.jpg
Hard Hat,282,48,342,96,pos_180.jpg
Hard Hat,190,9,252,54,pos_180.jpg
Hard Hat,39,0,116,52,pos_180.jpg
Safety Vest,6,35,339,451,pos_89.jpg
Hard Hat,192,170,270,220,pos_194.jpg
Hard Hat,454,138,510,180,pos_194.jpg
Safety Vest,157,268,294,444,pos_194.jpg
Safety Vest,420,212,537,361,pos_194.jpg
Hard Hat,342,59,419,115,pos_1161.jpg
Hard Hat,178,98,219,136,pos_1161.jpg
Hard Hat,45,65,175,177,pos_1161.jpg
Hard Hat,34,66,86,113,pos_1161.jpg
Hard Hat,60,46,197,243,pos_619.jpg
Hard Hat,276,47,461,243,pos_619.jpg
Hard Hat,43,243,214,414,pos_619.jpg
Safety Vest,201,100,261,173,pos_1834.jpg
Safety Vest,15,13,487,496,pos_76.jpg
Safety Vest,66,206,865,1176,pos_62.jpg
Safety Vest,829,113,1561,1001,pos_62.jpg
Hard Hat,55,14,383,186,pos_1820.jpg
Hard Hat,365,148,547,279,pos_1820.jpg
Hard Hat,601,225,727,328,pos_1820.jpg
Hard Hat,819,44,1027,207,pos_1820.jpg
Safety Vest,862,176,1278,716,pos_1820.jpg
Safety Vest,365,309,539,387,pos_1820.jpg
Safety Vest,1,0,178,243,pos_625.jpg
Safety Vest,107,55,298,297,pos_625.jpg
Hard Hat,168,183,559,428,pos_143.jpg
Safety Vest,51,332,671,717,pos_1808.jpg
Hard Hat,306,0,690,174,pos_1808.jpg
Hard Hat,86,529,622,956,pos_157.jpg
Hard Hat,276,74,733,593,pos_157.jpg
Hard Hat,40,130,213,305,pos_631.jpg
Safety Vest,245,18,805,871,pos_141.jpg
Hard Hat,102,23,791,573,pos_48.jpg
Safety Vest,20,58,263,298,pos_627.jpg
Safety Vest,77,80,596,606,pos_633.jpg
Safety Vest,1,138,569,594,pos_155.jpg
Safety Vest,229,95,598,534,pos_155.jpg
Safety Vest,62,160,420,668,pos_74.jpg
Safety Vest,313,34,639,505,pos_74.jpg
Safety Vest,647,400,736,505,pos_1836.jpg
Hard Hat,661,388,695,402,pos_1836.jpg
Hard Hat,131,103,219,175,pos_1188.jpg
Hard Hat,212,50,294,118,pos_1188.jpg
Safety Vest,265,67,520,451,pos_1822.jpg
Hard Hat,288,0,535,95,pos_1822.jpg
Hard Hat,742,0,1275,400,pos_1822.jpg
Safety Vest,569,483,1269,716,pos_1822.jpg
Hard Hat,424,160,742,474,pos_169.jpg
Hard Hat,88,164,424,476,pos_169.jpg
Hard Hat,9,52,251,310,pos_169.jpg
Hard Hat,320,50,564,301,pos_169.jpg
Hard Hat,625,46,795,298,pos_169.jpg
Safety Vest,15,51,463,703,pos_60.jpg
Safety Vest,415,125,791,719,pos_60.jpg
Hard Hat,37,73,1457,1323,pos_182.jpg
Safety Vest,92,620,938,717,pos_1611.jpg
Hard Hat,7,191,123,288,pos_1177.jpg
Hard Hat,86,283,129,331,pos_1177.jpg
Hard Hat,257,237,322,289,pos_1177.jpg
Hard Hat,331,245,373,285,pos_1177.jpg
Hard Hat,357,229,399,253,pos_1177.jpg
Hard Hat,209,255,252,294,pos_1177.jpg
Hard Hat,173,278,255,357,pos_1177.jpg
Hard Hat,357,219,499,365,pos_1177.jpg
Hard Hat,127,82,162,106,pos_828.jpg
Safety Vest,119,123,204,230,pos_828.jpg
Hard Hat,140,168,177,202,pos_1163.jpg
Hard Hat,271,246,300,268,pos_1163.jpg
Hard Hat,230,160,245,186,pos_1163.jpg
Hard Hat,0,42,598,511,pos_196.jpg
Hard Hat,118,76,220,131,pos_800.jpg
Hard Hat,284,30,402,107,pos_800.jpg
Hard Hat,188,15,378,158,pos_814.jpg
Hard Hat,372,1,770,359,pos_1639.jpg
Safety Vest,74,62,382,496,pos_425.jpg
Safety Vest,436,55,733,496,pos_425.jpg
Safety Vest,68,48,921,990,pos_343.jpg
Safety Vest,87,10,821,1082,pos_357.jpg
Hard Hat,8,67,330,293,pos_431.jpg
Safety Vest,18,269,276,556,pos_419.jpg
Safety Vest,21,50,273,261,pos_419.jpg
Hard Hat,289,452,366,508,pos_1375.jpg
Hard Hat,394,410,538,513,pos_1375.jpg
Hard Hat,584,328,670,397,pos_1375.jpg
Safety Vest,257,537,377,714,pos_1375.jpg
Safety Vest,335,553,559,718,pos_1375.jpg
Safety Vest,532,432,708,669,pos_1375.jpg
Hard Hat,195,521,317,701,pos_1413.jpg
Safety Vest,311,326,890,718,pos_1413.jpg
Hard Hat,5,130,295,310,pos_380.jpg
Hard Hat,18,17,429,318,pos_394.jpg
Safety Vest,1097,24,1278,394,pos_1407.jpg
Hard Hat,213,485,340,648,pos_1407.jpg
Safety Vest,334,309,884,719,pos_1407.jpg
Hard Hat,521,240,688,382,pos_1361.jpg
Safety Vest,480,411,895,719,pos_1361.jpg
Hard Hat,0,122,32,157,pos_1349.jpg
Hard Hat,198,43,269,89,pos_1349.jpg
Hard Hat,784,116,853,156,pos_1349.jpg
Safety Vest,0,172,56,283,pos_1349.jpg
Safety Vest,170,119,282,268,pos_1349.jpg
Safety Vest,740,176,867,346,pos_1349.jpg
Safety Vest,413,177,575,409,pos_2126.jpg
Safety Vest,899,142,1053,369,pos_2126.jpg
Safety Vest,105,153,243,348,pos_2132.jpg
Safety Vest,932,151,1118,387,pos_2132.jpg
Safety Vest,198,331,1055,1206,pos_551.jpg
Safety Vest,98,14,548,632,pos_237.jpg
Hard Hat,0,2,996,819,pos_223.jpg
Safety Vest,216,81,988,1193,pos_545.jpg
Safety Vest,0,383,526,718,pos_1598.jpg
Safety Vest,815,453,1279,718,pos_1598.jpg
Safety Vest,490,106,623,298,pos_2091.jpg
Safety Vest,739,144,834,322,pos_2091.jpg
Safety Vest,311,150,432,349,pos_2085.jpg
Safety Vest,841,173,975,363,pos_2085.jpg
Safety Vest,94,72,405,462,pos_579.jpg
Safety Vest,148,18,510,551,pos_592.jpg
Hard Hat,42,102,241,431,pos_1201.jpg
Safety Vest,0,490,158,717,pos_1567.jpg
Hard Hat,0,354,14,390,pos_1567.jpg
Hard Hat,103,396,213,474,pos_1567.jpg
Hard Hat,271,419,347,470,pos_1567.jpg
Hard Hat,554,543,698,667,pos_1567.jpg
Safety Vest,548,699,702,719,pos_1567.jpg
Safety Vest,196,504,364,669,pos_1567.jpg
Safety Vest,552,193,744,431,pos_1573.jpg
Hard Hat,123,103,148,127,pos_1215.jpg
Hard Hat,143,75,185,93,pos_1215.jpg
Hard Hat,223,100,244,121,pos_1215.jpg
Hard Hat,253,92,284,113,pos_1215.jpg
Hard Hat,292,89,322,108,pos_1215.jpg
Hard Hat,319,97,349,120,pos_1215.jpg
Hard Hat,356,96,384,118,pos_1215.jpg
Safety Vest,97,0,400,498,pos_586.jpg
Safety Vest,937,138,1278,715,pos_2052.jpg
Safety Vest,310,248,417,395,pos_2046.jpg
Safety Vest,448,264,518,370,pos_2046.jpg
Hard Hat,19,0,108,48,pos_1229.jpg
Hard Hat,162,35,242,89,pos_753.jpg
Hard Hat,229,2,320,63,pos_753.jpg
Hard Hat,190,36,356,125,pos_747.jpg
Safety Vest,123,266,450,373,pos_747.jpg
Safety Vest,628,415,1067,716,pos_1942.jpg
Safety Vest,1032,160,1278,718,pos_1942.jpg
Safety Vest,171,263,432,536,pos_1956.jpg
Safety Vest,638,243,772,442,pos_1956.jpg
Safety Vest,870,238,1015,432,pos_1956.jpg
Hard Hat,237,1,583,135,pos_1765.jpg
Safety Vest,87,264,629,716,pos_1765.jpg
Hard Hat,252,49,289,90,pos_1003.jpg
Hard Hat,34,49,80,78,pos_1003.jpg
Hard Hat,338,56,380,87,pos_1003.jpg
Hard Hat,402,20,451,57,pos_1003.jpg
Safety Vest,18,99,73,192,pos_1003.jpg
Safety Vest,212,99,299,192,pos_1003.jpg
Safety Vest,340,99,407,156,pos_1003.jpg
Safety Vest,407,66,473,153,pos_1003.jpg
Hard Hat,234,252,255,268,pos_948.jpg
Hard Hat,278,257,300,276,pos_948.jpg
Hard Hat,54,82,229,298,pos_790.jpg
Hard Hat,91,73,181,127,pos_784.jpg
Hard Hat,238,66,322,123,pos_784.jpg
Hard Hat,329,97,418,185,pos_784.jpg
Hard Hat,92,1,314,112,pos_1017.jpg
Safety Vest,667,158,744,264,pos_1771.jpg
Hard Hat,95,164,167,204,pos_1759.jpg
Hard Hat,474,205,525,230,pos_1759.jpg
Safety Vest,417,271,560,436,pos_1759.jpg
Safety Vest,0,277,258,658,pos_1981.jpg
Safety Vest,432,279,575,508,pos_1981.jpg
Safety Vest,731,266,1043,652,pos_1981.jpg
Hard Hat,163,156,223,198,pos_974.jpg
Hard Hat,234,115,369,186,pos_974.jpg
Hard Hat,115,95,168,140,pos_960.jpg
Hard Hat,335,122,368,150,pos_960.jpg
Safety Vest,73,95,512,671,pos_4.jpg
Safety Vest,313,31,685,539,pos_4.jpg
Safety Vest,376,279,547,432,pos_1995.jpg
Safety Vest,523,268,693,361,pos_1995.jpg
Hard Hat,15,23,447,299,pos_5.jpg
Hard Hat,127,0,256,105,pos_961.jpg
Hard Hat,221,111,303,166,pos_961.jpg
Hard Hat,330,126,428,179,pos_961.jpg
Safety Vest,281,231,478,471,pos_1994.jpg
Safety Vest,2,247,263,533,pos_1980.jpg
Safety Vest,408,256,548,491,pos_1980.jpg
Safety Vest,675,264,987,665,pos_1980.jpg
Safety Vest,428,295,512,422,pos_1758.jpg
Hard Hat,448,241,499,266,pos_1758.jpg
Hard Hat,90,141,160,187,pos_1758.jpg
Hard Hat,42,60,364,483,pos_975.jpg
Hard Hat,175,16,351,137,pos_1016.jpg
Hard Hat,162,160,308,252,pos_785.jpg
Hard Hat,562,267,608,300,pos_1770.jpg
Hard Hat,619,281,661,305,pos_1770.jpg
Safety Vest,540,319,623,432,pos_1770.jpg
Safety Vest,593,335,690,467,pos_1770.jpg
Safety Vest,283,150,415,340,pos_1764.jpg
Safety Vest,614,155,718,366,pos_1764.jpg
Hard Hat,608,70,689,118,pos_1764.jpg
Hard Hat,710,79,780,116,pos_1764.jpg
Hard Hat,547,89,609,130,pos_1764.jpg
Hard Hat,316,70,410,115,pos_1764.jpg
Hard Hat,185,58,297,135,pos_791.jpg
Hard Hat,168,37,373,203,pos_949.jpg
Hard Hat,207,125,230,146,pos_1002.jpg
Safety Vest,181,257,424,523,pos_1957.jpg
Safety Vest,643,243,785,436,pos_1957.jpg
Safety Vest,847,241,1047,467,pos_1957.jpg
Safety Vest,277,461,918,717,pos_1943.jpg
Hard Hat,216,35,282,76,pos_746.jpg
Hard Hat,129,138,161,159,pos_752.jpg
Hard Hat,350,81,401,112,pos_752.jpg
Safety Vest,701,124,1209,717,pos_2047.jpg
Hard Hat,54,60,122,105,pos_1228.jpg
Hard Hat,277,19,355,74,pos_1228.jpg
Safety Vest,508,15,860,640,pos_2053.jpg
Safety Vest,683,325,746,406,pos_1572.jpg
Safety Vest,758,337,814,418,pos_1572.jpg
Hard Hat,52,19,182,122,pos_587.jpg
Hard Hat,223,264,251,282,pos_1214.jpg
Hard Hat,270,294,291,309,pos_1214.jpg
Hard Hat,323,251,377,297,pos_1214.jpg
Hard Hat,375,269,413,293,pos_1214.jpg
Hard Hat,153,283,206,335,pos_1214.jpg
Hard Hat,44,286,65,302,pos_1214.jpg
Hard Hat,0,273,56,373,pos_1214.jpg
Hard Hat,169,18,270,156,pos_1200.jpg
Safety Vest,135,61,661,783,pos_593.jpg
Safety Vest,38,575,817,718,pos_1566.jpg
Safety Vest,132,175,263,373,pos_2084.jpg
Safety Vest,842,199,990,396,pos_2084.jpg
Hard Hat,31,4,496,250,pos_578.jpg
Safety Vest,528,103,642,296,pos_2090.jpg
Safety Vest,772,143,865,326,pos_2090.jpg
Safety Vest,406,348,553,561,pos_1599.jpg
Safety Vest,740,349,785,431,pos_1599.jpg
Safety Vest,112,28,737,793,pos_222.jpg
Safety Vest,4,8,446,438,pos_544.jpg
Safety Vest,119,247,394,640,pos_550.jpg
Hard Hat,176,37,321,157,pos_550.jpg
Hard Hat,73,97,112,125,pos_236.jpg
Hard Hat,196,113,240,139,pos_236.jpg
Safety Vest,48,135,125,228,pos_236.jpg
Safety Vest,43,134,139,301,pos_2133.jpg
Safety Vest,1163,217,1278,452,pos_2133.jpg
Hard Hat,480,0,536,62,pos_1348.jpg
Hard Hat,749,154,873,235,pos_1348.jpg
Hard Hat,875,168,1021,245,pos_1348.jpg
Safety Vest,895,306,1093,647,pos_1348.jpg
Safety Vest,781,267,917,561,pos_1348.jpg
Safety Vest,403,106,766,565,pos_1348.jpg
Safety Vest,417,171,585,404,pos_2127.jpg
Safety Vest,834,127,992,367,pos_2127.jpg
Safety Vest,356,307,911,718,pos_1406.jpg
Safety Vest,1137,16,1279,158,pos_1406.jpg
Hard Hat,246,481,369,644,pos_1406.jpg
Safety Vest,28,0,268,298,pos_395.jpg
Hard Hat,510,139,579,201,pos_1360.jpg
Hard Hat,553,51,642,135,pos_1360.jpg
Hard Hat,810,166,881,216,pos_1360.jpg
Safety Vest,482,220,594,378,pos_1360.jpg
Safety Vest,578,123,771,392,pos_1360.jpg
Safety Vest,806,238,934,406,pos_1360.jpg
Hard Hat,244,453,304,529,pos_1374.jpg
Hard Hat,296,392,467,525,pos_1374.jpg
Hard Hat,546,325,650,386,pos_1374.jpg
Safety Vest,228,539,321,649,pos_1374.jpg
Safety Vest,215,585,496,719,pos_1374.jpg
Safety Vest,491,425,699,657,pos_1374.jpg
Safety Vest,167,3,834,917,pos_381.jpg
Safety Vest,306,337,877,718,pos_1412.jpg
Hard Hat,182,531,307,710,pos_1412.jpg
Hard Hat,140,10,327,133,pos_418.jpg
Hard Hat,15,4,400,264,pos_356.jpg
Safety Vest,18,1,300,316,pos_430.jpg
Hard Hat,14,39,297,225,pos_424.jpg
Safety Vest,7,3,590,511,pos_342.jpg
Hard Hat,371,58,428,90,pos_815.jpg
Hard Hat,568,273,616,307,pos_1638.jpg
Hard Hat,596,271,638,305,pos_1638.jpg
Hard Hat,940,96,987,127,pos_1638.jpg
Safety Vest,551,320,644,392,pos_1638.jpg
Safety Vest,920,138,1007,230,pos_1638.jpg
Hard Hat,0,40,374,355,pos_801.jpg
Hard Hat,43,108,82,135,pos_1162.jpg
Hard Hat,80,98,105,116,pos_1162.jpg
Hard Hat,115,84,161,119,pos_1162.jpg
Hard Hat,151,90,174,113,pos_1162.jpg
Hard Hat,170,78,220,116,pos_1162.jpg
Hard Hat,230,87,269,112,pos_1162.jpg
Hard Hat,273,106,319,152,pos_1162.jpg
Hard Hat,339,79,375,102,pos_1162.jpg
Hard Hat,403,64,441,106,pos_1162.jpg
Hard Hat,165,148,215,174,pos_829.jpg
Hard Hat,342,95,373,138,pos_829.jpg
Hard Hat,3,328,163,486,pos_197.jpg
Hard Hat,328,403,505,555,pos_197.jpg
Hard Hat,757,378,929,526,pos_197.jpg
Hard Hat,1113,367,1298,493,pos_197.jpg
Safety Vest,608,439,668,556,pos_1604.jpg
Safety Vest,145,599,976,718,pos_1610.jpg
Safety Vest,62,12,322,379,pos_183.jpg
Hard Hat,145,197,178,229,pos_1176.jpg
Safety Vest,26,216,108,357,pos_1176.jpg
